Fecha,Emisora,Serie,Precio
20170209,ACTICOB,E,28.00911
20170209,ACTICOB,F-1,26.819955
20170209,ACTICOB,F-2,27.092793
20170209,ACTICOB,F-3,27.331293
20170209,ACTICOB,FF,27.676619
20170209,ACTICOB,M-1,26.086741
20170209,ACTICOB,M-2,26.53738
20170209,ACTICOB,M-3,26.856458
20170209,ACTIGOB,A,4.598657
20170209,ACTIGOB,B-1,3.823033
20170209,ACTIGOB,B-2,4.008659
20170209,ACTIGOB,B-3,4.105389
20170209,ACTIGOB,E,4.629795
20170209,ACTIGOB,F-1,4.215394
20170209,ACTIGOB,FF,4.598653
20170209,ACTIGOB,GE,4.758082
20170209,ACTIGOB,M-1,4.218195
20170209,ACTIGOB,M-2,4.279281
20170209,ACTIGOB,M-3,4.341288
20170209,ACTIMED,A,4.79771
20170209,ACTIMED,B-1,4.114602
20170209,ACTIMED,B-2,4.450197
20170209,ACTIMED,B-3,4.565454
20170209,ACTIMED,D,4.550769
20170209,ACTIMED,E,4.803355
20170209,ACTIMED,F-1,4.460534
20170209,ACTIMED,F-2,4.643259
20170209,ACTIMED,F-3,4.686481
20170209,ACTIMED,FF,4.795488
20170209,ACTIMED,M-1,4.293918
20170209,ACTIMED,M-2,4.515705
20170209,ACTIMED,M-3,4.57361
20170209,ACTIREN,A,9.168709
20170209,ACTIREN,B-1,7.229708
20170209,ACTIREN,B-2,7.523056
20170209,ACTIREN,B-3,7.722504
20170209,ACTIREN,E,8.412811
20170209,ACTIREN,F-1,7.788941
20170209,ACTIREN,F-2,7.86654
20170209,ACTIREN,F-3,8.05055
20170209,ACTIREN,FF,9.232812
20170209,ACTIREN,M-1,7.837118
20170209,ACTIREN,M-2,7.893771
20170209,ACTIREN,M-3,7.942366
20170209,ALTERNA,A,4.028205
20170209,ALTERNA,B-1,3.110887
20170209,ALTERNA,B-2,3.370953
20170209,ALTERNA,B-3,3.60853
20170209,ALTERNA,D,3.636664
20170209,ALTERNA,E,3.681001
20170209,ALTERNA,F-1,3.63044
20170209,ALTERNA,FF,4.043082
20170209,ALTERNA,M-1,3.298176
20170209,ALTERNA,M-2,3.475833
20170209,ALTERNA,M-3,3.655959
20170209,ACTI500,A,4.634541
20170209,ACTI500,B1,3.500347
20170209,ACTI500,B2,3.794485
20170209,ACTI500,B3,3.93415
20170209,ACTI500,D,4.456547
20170209,ACTINEM,A,201.223765
20170209,ACTINEM,B,178.419779
20170209,ACTINEM,FF,201.223739
20170209,ACTINMO,A,41.326669
20170209,ACTINMO,B,36.582226
20170209,ACTINMO,D,36.833738
20170209,ACTINMO,FF,41.326662
20170209,ACTINMO,I,40.897861
20170209,ACTIUS,A,3.180633
20170209,ACTIUS,B,2.803738
20170209,ACTIVAR,A,95.736089
20170209,ACTIVAR,B,84.39055
20170214,ACTICOB,A,27.457189
20170214,ACTICOB,B-1,25.384015
20170214,ACTICOB,B-2,25.962487
20170214,ACTICOB,B-3,26.595602
20170214,ACTICOB,E,27.803766
20170214,ACTICOB,F-1,26.622379
20170214,ACTICOB,F-2,26.893636
20170214,ACTICOB,F-3,27.130815
20170214,ACTICOB,FF,27.475366
20170214,ACTICOB,M-1,25.893676
20170214,ACTICOB,M-2,26.341423
20170214,ACTICOB,M-3,26.658585
20170214,ACTIGOB,A,4.601837
20170214,ACTIGOB,B-1,3.824644
