BP_Único_y/o_Repetido,CLAVE_CLIENTE,CATEGORIA_PRODUCTO,DETALLE_PRODUCTO,POSICION_CUENTA_FECHA_TRANS
Repetido,91962811,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 57,860 "
Repetido,91962811,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 18,519 "
Repetido,91962886,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 293,647 "
Repetido,91963074,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 92,637 "
Repetido,91963355,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 226,308 "
Repetido,91963413,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 2,777 "
Repetido,91963488,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 4,179 "
Repetido,91964163,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 15,668 "
Repetido,91964197,FONDOS DE DEUDA,"ACTIGOBER, S.A. DE C.V. SOC INV INSTRUM DE DEUDA"," 4,842 "
Repetido,91964254,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 38,333 "
Único,91964536,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 7,776 "
Repetido,91964700,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 7,973 "
Único,91965186,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 73,417 "
Único,91965228,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 62,520 "
Repetido,91965236,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 25,688 "
Repetido,91965293,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 155,599 "
Repetido,91965459,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 13,394 "
Repetido,91965483,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 1,535 "
Único,91965566,FONDOS DE COBERTURA,"ACTICOBER, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA", 598 
Repetido,91965632,RENTA VARIABLE,"FONDO MAYA,S.A DE C.V.,SOC. DE INV. DE RENTA VARIABLE"," 18,966 "
Repetido,91965640,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 19,113 "
Repetido,91965640,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 23,486 "
Repetido,91965723,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 112,186 "
Repetido,91965731,FONDOS DE DEUDA,"ACTIMED, S.A. DE C.V SOC DE INV EN INSTR DE DEUDA"," 293,948 "
Repetido,91965863,FONDOS DE DEUDA,"ALTERNA, S.A. DE C.V. SOCIEDAD DE INVERSION EN INSTRUMENTOS DE DEUDA"," 82,285 "
