id,ID_CLIENTE,NIVEL,MEJOR_RENDIMIENTO
628,90030974,NIVEL 2,Yes
629,90030974,NIVEL 3,Yes
630,90031113,NIVEL 1,No
631,90031113,NIVEL 2,No
632,90031113,NIVEL 3,No
633,90031212,NIVEL 1,No
634,90031212,NIVEL 2,No
635,90031212,NIVEL 3,No
636,90031261,NIVEL 1,No
637,90031261,NIVEL 2,No
638,90031261,NIVEL 3,No
639,90031493,NIVEL 1,No
640,90031493,NIVEL 2,No
641,90031493,NIVEL 3,No
642,90031519,NIVEL 1,Yes
643,90031519,NIVEL 2,Yes
644,90031519,NIVEL 3,Yes
645,90031774,NIVEL 1,No
646,90031774,NIVEL 2,No
647,90031774,NIVEL 3,No
648,90031980,NIVEL 1,Yes
649,90031980,NIVEL 2,Yes
650,90031980,NIVEL 3,Yes
651,90032632,NIVEL 1,Yes
652,90032632,NIVEL 2,Yes
653,90032632,NIVEL 3,Yes
654,90032715,NIVEL 1,No
655,90032715,NIVEL 2,No
656,90032715,NIVEL 3,No
657,90032723,NIVEL 1,Yes
658,90032723,NIVEL 2,Yes
659,90032723,NIVEL 3,Yes
660,90032764,NIVEL 1,No
661,90032764,NIVEL 2,No
662,90032764,NIVEL 3,No
663,90032921,NIVEL 1,Yes
664,90032921,NIVEL 2,Yes
665,90032921,NIVEL 3,Yes
666,90033010,NIVEL 1,No
667,90033010,NIVEL 2,No
668,90033010,NIVEL 3,No
669,90033333,NIVEL 1,Yes
670,90033333,NIVEL 2,Yes
671,90033333,NIVEL 3,Yes
672,90033903,NIVEL 1,No
673,90033903,NIVEL 2,No
674,90033903,NIVEL 3,No
675,90034133,NIVEL 1,No
676,90034133,NIVEL 2,Yes
677,90034133,NIVEL 3,Yes
678,90034190,NIVEL 1,Yes
679,90034190,NIVEL 2,Yes
680,90034190,NIVEL 3,Yes
681,90034232,NIVEL 1,Yes
682,90034232,NIVEL 2,Yes
683,90034232,NIVEL 3,Yes
684,90034364,NIVEL 1,No
685,90034364,NIVEL 2,No
686,90034364,NIVEL 3,No
687,90034372,NIVEL 1,Yes
688,90034372,NIVEL 2,Yes
689,90034372,NIVEL 3,Yes
690,90034398,NIVEL 1,Yes
691,90034398,NIVEL 2,Yes
692,90034398,NIVEL 3,Yes
693,90034430,NIVEL 1,Yes
694,90034430,NIVEL 2,Yes
695,90034430,NIVEL 3,Yes
696,90035015,NIVEL 1,Yes
697,90035015,NIVEL 2,Yes
698,90035015,NIVEL 3,Yes
699,90035049,NIVEL 1,No
700,90035049,NIVEL 2,No
701,90035049,NIVEL 3,Yes
702,90035171,NIVEL 1,No
703,90035171,NIVEL 2,Yes
704,90035171,NIVEL 3,Yes
